вулиця Фрунзе 	> вулиця Сержанта Андрющенка
вулиця Фрунзе 	> вулиця Василя Чапленка
Ж/м Фрунзенський-1 	> Ж/м Ломівський
Ж/м Фрунзенський-2 	> Ж/м Кам’янський
вулиця Фурманова 	> вулиця Героїв Крут
вулиця Фурманова 	> вулиця Олени Теліги
вулиця Фучика 	> вулиця Івана Акінфієва
вулиця Хуліана Грімау 	> вулиця Віктора Мерзленка
Провулок Цхакая 	> провулок Улюблений
вулиця Цхакая 	> вулиця Василя Біднова
Провулок Цюрупинський 	> провулок Весняних конвалій
вулиця Чапаєва 	> вулиця Олександра Потебні
вулиця Чапаєва 	> вулиця Болбочана
вулиця Чекістів 	> вулиця Переможна
Площа Червона 	> площа Троїцька
вулиця Червона 	> вулиця Троїцька
вулиця Червоних бійців 	> вулиця Кобзарська
вулиця Червоноармійська 	> вулиця Просвітянська
вулиця Червоноармійська 	> вулиця Футбольна
Провулок Червоноармійський 	> провулок Червонокалиновий
вулиця Червонобогатир-ська 	> вулиця Богатирська
вулиця Червоногірська 	> вулиця Святогірська
вулиця Червоного козацтва 	> вулиця Терещенківська
вулиця Червонопартизан-ська 	> вулиця Василя Макуха
вулиця Червоноповстан-ська балка 	> вулиця Довга балка
Провулок Червонопролетар-ський 	> провулок Порічковий
вулиця Червонофлотська 	> вулиця Петра Григоренка
вулиця Чередниченка 	> вулиця Михайла Вербицького
вулиця Чичеріна 	> вулиця Надії Алексєєнко
вулиця Чкалова 	> вулиця Святослава Хороброго
вулиця Чубаря 	> вулиця Володимира Сосюри
вулиця Шаумяна 	> вулиця Нагірна
вулиця Шелгунова 	> вулиця Максима Дія
вулиця Шпіндяка 	> вулиця Симона Петлюри
вулиця Щаденка 	> вулиця Марії Грінченко
вулиця Щербицького 	> вулиця Олени Блавацької
вулиця Щорса 	> вулиця Данили Будницького
вулиця Щорса 	> вулиця Костомарівська
вулиця Юних ленінців 	> вулиця Козака Мамая
вулиця Якіра 	> вулиця Івана Сулими
Провулок Якіра 	> провулок Сулимівський
вулиця Яшина 	> вулиця Володимира Самодриги
